Current Value of Stock,Expected Value of Stock,Error in expected value of stock,Percentage of portfolio,Percentage of sector,Sector of stock,Buy/Sell/Keep,Positive,Negative,Total,Neutral_Pos,Neutral_Neg
964.0,957.55,13.32000000000005,1.2955317523859937,17.08757078296837,IT,Buy,37.0887338,7.577268195,1003,37.0887338,14.26021879
954.21,975.425,11.870000000000005,1.0541362348193875,19.2196104021754,IT,Buy,36.16858238,10.72796935,1305,36.16858238,19.64146967
975.64,992.115,11.0,2.2659851291693256,12.269609655407494,IT,Buy,34.62804477,11.58657011,1519,34.62804477,19.81813359
996.67,993.135,8.80499999999995,1.1146053891007976,12.183148147839809,IT,Buy,33.64413364,6.993006993,1287,33.64413364,9.647096233
996.81,1004.97,6.740000000000009,3.165550890924957,10.480852373271535,IT,Sell,40.16445288,9.044908286,1581,40.16445288,20.27121805
1008.44,1007.36,7.090000000000032,1.3571063591191899,9.524376305917903,IT,Buy,32.78985507,7.971014493,1104,32.78985507,10.74883266
1009.27,988.3050000000001,10.809999999999945,2.093061611145444,13.231944368987664,IT,Buy,36.0,10.18181818,1375,36.0,18.38058496
993.53,976.515,24.274999999999977,1.5690190858950956,9.670827410750878,IT,Buy,31.81818182,8.8794926,946,31.81818182,11.59411562
969.0,975.4549999999999,18.200000000000045,3.8693797363966587,12.327608805412059,IT,Buy,34.01139138,8.543531326,1229,34.01139138,13.11540263
980.33,1079.545,55.02999999999997,4.290913133244607,10.86732595638845,IT,Buy,39.20485919,10.87796797,3622,39.20485919,22.97774374
1095.01,1107.1399999999999,9.420000000000073,1.7195671683404057,18.285907471229386,IT,Buy,30.21582734,16.54676259,1390,30.21582734,25.32630112
1105.4,1096.0149999999999,15.070000000000164,2.491027990236744,14.737482897042023,IT,Buy,32.40223464,12.52992817,1253,32.40223464,19.47903958
1091.15,1114.9050000000002,16.6400000000001,2.9313560131374974,5.367706642803908,IT,Buy,40.57239057,11.44781145,1188,40.57239057,25.48496207
1124.74,1127.545,13.849999999999909,2.3050700876807513,6.7232049772780496,IT,Buy,38.97637795,10.23622047,1016,38.97637795,21.4657675
1126.1,1126.085,17.560000000000173,0.843098036492971,12.022513373375904,IT,Buy,37.64961915,10.77257889,919,37.64961915,21.21172553
1130.11,1126.85,10.11999999999989,1.6420691086820605,9.416568637796939,IT,Buy,37.57575758,7.196969697,1320,37.57575758,13.98664557
1130.16,1134.08,12.990000000000009,3.0228649784288435,16.138999067970396,IT,Buy,34.95883471,7.663077897,1579,34.95883471,12.3019391
1129.77,1136.175,11.799999999999955,2.561840054523423,12.241965205403886,IT,Sell,32.51028807,9.053497942,243,32.51028807,12.63423255
1141.0,1173.35,26.139999999999873,3.5221951362604713,8.424896449911865,IT,Buy,30.84648494,8.823529412,1394,30.84648494,10.51049236
1202.66,1199.24,16.819999999999936,4.7229540172327695,14.81478545136932,IT,Buy,35.19337017,11.71270718,1810,35.19337017,20.63573313
1194.8,1171.925,18.569999999999936,1.4083586338864678,15.904032110764051,IT,Sell,44.53618261,11.1704711,2059,44.53618261,28.89407342
